fold,num_tasks,final_masked_acc,final_masked_bacc
0,10,0.8461994390635231,0.7949953942562191
1,10,0.8253121514197819,0.8064275592905619
2,10,0.8411643234095619,0.78629970312286
3,10,0.8448068970006577,0.7770091041947604
4,10,0.8606714438577162,0.8010218168403929
5,10,0.8524064879964127,0.79273125209567
6,10,0.857036910638222,0.7858385276289815
7,10,0.8473180505483127,0.7789684524821896
8,10,0.8437573835942306,0.7644110558518319
9,10,0.8433592857811864,0.7723897684097027
mean,10.0,0.8462032373309605,0.786009263417317
std,0.0,0.009188409930323403,0.01245344069237739
