fold,num_tasks,final_masked_acc,final_masked_bacc
0,10,0.8528811442609333,0.7976314323351903
1,10,0.8528295846224914,0.8123025044150671
2,10,0.8467850120165525,0.8138442726521579
3,10,0.8480434424942856,0.7965492589168928
4,10,0.8503026814937138,0.812577934930735
5,10,0.848811950287258,0.8224803292371252
6,10,0.8240276265751219,0.7810494392792863
7,10,0.8088430915001785,0.7852127768757033
8,10,0.8361615714565322,0.7925796115788419
9,10,0.8308055576276783,0.8015129893390543
mean,10.0,0.8399491662334746,0.8015740549560053
std,0.0,0.013964835522480621,0.01278461343592249
