fold,num_tasks,final_masked_acc,final_masked_bacc
0,10,0.5688951217332652,0.43234662701015003
1,10,0.6739392421888086,0.5268123540496765
2,10,0.5396126375129857,0.4454517625231911
3,10,0.5831345203547466,0.5364162906638678
4,10,0.7212209272873414,0.6417358096728413
5,10,0.6756543020037775,0.5525315090424536
6,10,0.7072261730319637,0.5715931713302065
7,10,0.6475989278512205,0.5813372655335107
8,10,0.5355390185716108,0.4740380986016183
9,10,0.5928599344787332,0.4669740371830134
mean,10.0,0.6245680805014453,0.522923692561053
std,0.0,0.06535831434951359,0.06379439435677758
