fold,task,acc,bacc,kappa,nw_kappa,weighted_f1,loss,auroc
0,0,0.95,0.9453125,0.8507462686567164,0.8507462686567164,0.9510737628384687,0.20023790211880307,0.966796875
0,1,0.9195402298850575,0.9471794871794872,0.7750352609308886,0.8212328767123288,0.9247283653006323,0.2682918615413373,0.9933916083916084
0,2,0.9534883720930233,0.9516304347826088,0.906215921483097,0.906215921483097,0.9533868737233409,0.19393774907716682,0.9875
0,3,0.9253731343283582,0.9219600725952812,0.8473804100227791,0.8473804100227791,0.9252031027364883,0.2378475700366919,0.9745916515426497
0,4,0.8947368421052632,0.8333333333333333,0.732394366197183,0.732394366197183,0.8879699248120302,0.3439181046863808,0.8782051282051282
0,5,0.953125,0.8703703703703703,0.8064516129032258,0.8064516129032258,0.9509469696969698,0.3154390365771969,0.9638888888888889
mean,0,0.95,0.9453125,0.8507462686567164,0.8507462686567164,0.9510737628384687,0.20023790211880307,0.966796875
std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,1,0.9195402298850575,0.9471794871794872,0.7750352609308886,0.8212328767123288,0.9247283653006323,0.2682918615413373,0.9933916083916084
std,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,2,0.9534883720930233,0.9516304347826088,0.906215921483097,0.906215921483097,0.9533868737233409,0.19393774907716682,0.9875
std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,3,0.9253731343283582,0.9219600725952812,0.8473804100227791,0.8473804100227791,0.9252031027364883,0.2378475700366919,0.9745916515426497
std,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,4,0.8947368421052632,0.8333333333333333,0.732394366197183,0.732394366197183,0.8879699248120302,0.3439181046863808,0.8782051282051282
std,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,5,0.953125,0.8703703703703703,0.8064516129032258,0.8064516129032258,0.9509469696969698,0.3154390365771969,0.9638888888888889
std,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,overall,0.9327105964019503,0.9116310330435135,,,,,
mean,overall,0.9327105964019503,0.9116310330435135,,,,,
std,overall,0.0,0.0,,,,,
