fold,mACC,BWT,FGT
0,0.7212118270225814,-0.09717034898272413,0.1015293233416985
1,0.7616658395794998,-0.07618443511209186,0.09589836546035056
2,0.7333784296873881,-0.08854847410734763,0.09064491016604785
3,0.7499492185533457,-0.05837682242703531,0.07329584986707115
4,0.7179077110255712,-0.07606992944387211,0.08531236856406066
5,0.7186449091740518,-0.07379834669589097,0.07731255858219588
6,0.711061938470473,-0.07668376282451413,0.07668376282451413
7,0.7584283985853447,-0.0718205091832836,0.07734580013977303
8,0.7650802965096565,-0.07629793730714059,0.08402792783933992
9,0.7437944389981432,-0.08038548970629794,0.08038548970629794
mean,0.7381123007606055,-0.07753360557901982,0.08424363564913495
std,0.019220165357512232,0.009668753543868843,0.008742446488904022
