fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.5880633204644697,0.5645427509966622,0.521686246326332,0.5639727064054639,0.02698731584249985
1,0.631391593394352,0.614419560843156,0.5777412956164332,0.5974785956299448,0.022219059538442186
2,0.6293524689491147,0.603362443714601,0.5657917100801567,0.5933977821173708,0.021514236455154066
3,0.6531123455795905,0.6167124589383316,0.5846098763112171,0.6102653784195379,0.02133069853382869
4,0.6292558120933954,0.5998629648994612,0.584728265973297,0.5895825719031302,0.021964996474272587
5,0.6350323320624773,0.6189939528399679,0.5862173285368559,0.6007734980160878,0.021977478561846637
6,0.6192576869401156,0.5975699337388416,0.5746000038280514,0.5910687315734923,0.02314078156755913
7,0.6430664255944349,0.610048771283694,0.5713958451057365,0.6169114284177952,0.021866075687240517
8,0.6287912898012655,0.5940139150651711,0.5661965925934473,0.6126435849953165,0.021897780920914704
9,0.6356044703010535,0.6053007668111384,0.5723493231696006,0.6102782851914165,0.02227723926073033
mean,0.629292774518027,0.6024827519131024,0.5705316487541128,0.5986372562669555,0.02251756628424887
std,0.016232984246553315,0.014918831635747105,0.017735544387605176,0.014748248696613132,0.0015599631277270938
