fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.7294932895531524,0.6893264349328809,0.6240512074415034,0.752479193193945,0.08750048290085563
1,0.7734732901752962,0.7204630190308172,0.6663429259583113,0.7944275926041551,0.0657889817596358
2,0.7686084602475115,0.7199589096339996,0.666870351864056,0.7806792916273855,0.07500340963565634
3,0.7753195792774182,0.7264280328371344,0.6736945250028524,0.7752510637189501,0.09508631988763477
4,0.7546592640420153,0.7165222015981795,0.6696910982898534,0.7534370660046005,0.0999504968153528
5,0.7523972734419034,0.7113108488072712,0.6716497918390196,0.7623981603745528,0.10132546228617852
6,0.7337291815080587,0.7079745805368708,0.6662971197282312,0.7558110405110228,0.10081100728228301
7,0.7463289166495067,0.6973380156489324,0.65175511488317,0.7645483739131829,0.10575724278505853
8,0.69913548630326,0.6647530346328259,0.6244875635415814,0.731257840262785,0.06626660943983573
9,0.7269610395467583,0.6782032008519141,0.6447293674584493,0.7399002816827207,0.06676237594971869
mean,0.746010578074488,0.7032278278510826,0.6559569066007029,0.76101899038933,0.08642523887422099
std,0.022854728265022033,0.01927256591289067,0.017987263128145695,0.017913221613166514,0.015527743725190692
