fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.5589501211976765,0.5537129587936782,0.51561137808755,0.5272742599867963,0.0335908671268355
1,0.6122269789221169,0.5970521969234547,0.5629487623269656,0.5700084499967119,0.03367967313645063
2,0.6053306994671402,0.58523465394165,0.5545857405540197,0.56098424234473,0.03613178361064009
3,0.5923695181058186,0.5766424816614577,0.5431769570295265,0.5459439350333517,0.0386291258844894
4,0.5915770529917822,0.5768705662830945,0.5617372690366151,0.5436057126217978,0.03848110005264076
5,0.5841043102451355,0.5920246830955744,0.553934518036248,0.5316894800924546,0.039310740802175635
6,0.5646206260974213,0.5594886330368051,0.5386363300169402,0.5330669573029819,0.04082554750915489
7,0.6044542504184519,0.5909918868719324,0.5559035433311946,0.5776947184252728,0.03944849595571817
8,0.5739914018125577,0.5564436576384351,0.5359174051261614,0.5572390931190082,0.03742904220703409
9,0.5927136294203178,0.5672627969291426,0.54655415790867,0.5521702498254422,0.03328949821644052
mean,0.5880338588678419,0.5755724515175225,0.5469006061453892,0.5499677098748548,0.03708158745015796
std,0.016775114448377548,0.014958243042215704,0.013598493718221407,0.015940181976008275,0.002609656499727275
