true_task,true_task_name,pred_0_camelyon17,pred_1_brca,pred_2_rcc,pred_3_nsclc,pred_4_esca,pred_5_tgct,pred_6_cesc,pred_7_bracs,pred_8_herohe,pred_9_ubc_ocean
0,camelyon17,0.939,0.032,0.0,0.0,0.004,0.0,0.0,0.002,0.023,0.0
1,brca,0.012269938650306749,0.5766871165644172,0.0036809815950920245,0.007361963190184049,0.0098159509202454,0.0036809815950920245,0.008588957055214725,0.008588957055214725,0.36073619631901843,0.008588957055214725
2,rcc,0.0,0.0,0.9942196531791907,0.0011560693641618498,0.0,0.003468208092485549,0.0,0.0,0.0,0.0011560693641618498
3,nsclc,0.0034762456546929316,0.002317497103128621,0.005793742757821553,0.944380069524913,0.028968713789107765,0.0034762456546929316,0.005793742757821553,0.0,0.0034762456546929316,0.002317497103128621
4,esca,0.034328358208955224,0.0,0.0,0.005970149253731343,0.9238805970149254,0.0014925373134328358,0.026865671641791045,0.0,0.0,0.007462686567164179
5,tgct,0.06824146981627296,0.0,0.0,0.007874015748031496,0.06036745406824147,0.7454068241469817,0.09448818897637795,0.007874015748031496,0.0,0.015748031496062992
6,cesc,0.0046875,0.0,0.0109375,0.01953125,0.74375,0.01171875,0.18671875,0.00234375,0.0,0.0203125
7,bracs,0.04130808950086059,0.1342512908777969,0.0,0.0,0.0017211703958691911,0.0017211703958691911,0.0,0.648881239242685,0.1721170395869191,0.0
8,herohe,0.005859375,0.681640625,0.0,0.021484375,0.021484375,0.001953125,0.017578125,0.068359375,0.181640625,0.0
9,ubc_ocean,0.003703703703703704,0.0,0.007407407407407408,0.001851851851851852,0.001851851851851852,0.037037037037037035,0.05740740740740741,0.003703703703703704,0.0,0.8870370370370371
