fold,acc,bacc,macro_f1,weighted_f1
0,0.064524748078435,0.05555795802616923,0.060239507185331276,0.08261905005844347
1,0.018168278390262842,0.02400992328111532,0.011923425671071622,0.010466249097525082
2,0.09782912453893572,0.08618352826278891,0.06139795359304036,0.07742344171010113
3,0.027493248709102212,0.027607794485053943,0.01827556233507247,0.016761345043498865
4,0.08782479537852414,0.07836255039760712,0.0599873907635377,0.08815004428693128
5,0.01734191102477689,0.013339214787003206,0.010711694872378589,0.019376445617248758
6,0.08798096455032389,0.057863500324835726,0.05203638126912135,0.1206573880505805
7,0.03863504674509889,0.02775849112480796,0.0366858888184949,0.03060538328718554
8,0.04789510574979657,0.03403136358964296,0.03568131623687179,0.04968988285520543
9,0.043346421841809354,0.03597290511450758,0.02406992393261415,0.04077640409947127
mean,0.05310396450070655,0.0440687229393532,0.03710090446775342,0.053652563410619136
std,0.028354439322103065,0.02306936632542658,0.01931135547974267,0.034924744137456575
