fold,mACC,BWT,FGT
0,0.7894465324640667,-0.04859036709344991,0.07241619258073555
1,0.8260325487498925,-0.05181152549278492,0.07379041908692352
2,0.7938985169796011,-0.05409667001237892,0.07815569722525512
3,0.8048647482698484,-0.04235661777173147,0.05374637025392093
4,0.7735151051027062,-0.035745022732794327,0.04794438262290406
5,0.7821842329223573,-0.05831332250571256,0.07337566334756555
6,0.7758043736479472,-0.05165048125291273,0.05824077442857176
7,0.8101419264135281,-0.06739532492009505,0.0761755203285947
8,0.803439349279083,-0.04782522164011981,0.06641537345610297
9,0.7981081480368692,-0.06968404419845903,0.0840102345972277
mean,0.79574354818659,-0.05274685976204387,0.06842706279278019
std,0.015463944417162603,0.009873442578110953,0.010997990021971972
