fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.5587227658582522,0.5510751450340089,0.5036408768061362,0.5274164138943066,0.027251871688316415
1,0.6257519914919365,0.6265554940820304,0.5917405465788668,0.5854864418305493,0.02891550130569571
2,0.6132621413670839,0.5948695813648838,0.5715553117794537,0.5691761771503292,0.025946435007508227
3,0.6159218981801818,0.588503836616806,0.5527318998776228,0.5599940401571957,0.026484645338914765
4,0.5974987652270587,0.5763442215239463,0.5569522035704761,0.5438746517986893,0.02654955942641151
5,0.5830524221354082,0.5799409539137883,0.5501792743651915,0.5380342755286955,0.02620550128021169
6,0.5700146782081312,0.5676358884026383,0.5396231221197574,0.5289379359071611,0.026701478112407463
7,0.6087982794257535,0.5950761042545671,0.5563263525974038,0.5779198677793753,0.026003466650145902
8,0.5819490825810035,0.572443163828402,0.5508441505466377,0.5568371020941246,0.021312577514502846
9,0.5961061280340603,0.5743243647503631,0.545764211405737,0.557968985980548,0.02148971537390871
mean,0.5951078152508871,0.5826768753771434,0.5519357949647284,0.5545645892120975,0.025686075169802324
std,0.020415766741749834,0.019257910892810794,0.021309118597620833,0.018821892819749803,0.002290644445901716
