fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.5596393242036461,0.5436323097774891,0.49932043982947766,0.5516022440538823,0.023094070697000958
1,0.6179337420638203,0.6143393968550972,0.5818010591981126,0.6044217652276543,0.02194029683932097
2,0.6155226535239776,0.5946417026235069,0.5705107820241987,0.5885963587955061,0.022163610510768712
3,0.604284399697883,0.5618574805833533,0.537607441348286,0.5768118132428149,0.022236150822208166
4,0.6061229332396343,0.5831452506771858,0.5746647135375557,0.5893710645864066,0.02249173342925598
5,0.577277718216223,0.5822684799492308,0.552912022538331,0.5605374402326007,0.021831751302269057
6,0.5811344362161288,0.5695959985894341,0.5436515853045373,0.5622309760170373,0.021977297155740608
7,0.5927023731855992,0.5696228775091602,0.5407042430298504,0.5867187911467306,0.02235825401385064
8,0.5883643763105164,0.5635399638517271,0.5431540951935536,0.5910349035535115,0.022023669032249213
9,0.584137636941193,0.5505481075015498,0.5370094311572684,0.5742450014384919,0.022030050290185184
mean,0.5927119593598622,0.5733191567917735,0.5481335813161172,0.5785570358294636,0.02221468840928495
std,0.017403207462994643,0.019920617853490346,0.022535129053919592,0.015647597834224036,0.0003496589233843744
