true_task,true_task_name,pred_0_camelyon17,pred_1_brca,pred_2_rcc,pred_3_nsclc,pred_4_esca,pred_5_tgct,pred_6_cesc,pred_7_bracs,pred_8_herohe,pred_9_ubc_ocean
0,camelyon17,0.937,0.034,0.0,0.0,0.006,0.0,0.0,0.001,0.022,0.0
1,brca,0.014723926380368098,0.5717791411042945,0.001226993865030675,0.011042944785276074,0.008588957055214725,0.0036809815950920245,0.014723926380368098,0.0049079754601227,0.3595092024539877,0.0098159509202454
2,rcc,0.0,0.0,0.9942196531791907,0.0011560693641618498,0.0,0.003468208092485549,0.0,0.0,0.0,0.0011560693641618498
3,nsclc,0.002317497103128621,0.002317497103128621,0.005793742757821553,0.9524913093858632,0.013904982618771726,0.0034762456546929316,0.015063731170336037,0.0,0.0034762456546929316,0.0011587485515643105
4,esca,0.005970149253731343,0.0,0.0,0.005970149253731343,0.9477611940298507,0.0,0.04029850746268657,0.0,0.0,0.0
5,tgct,0.049868766404199474,0.0,0.0,0.0026246719160104987,0.15748031496062992,0.5958005249343832,0.18635170603674542,0.005249343832020997,0.0,0.0026246719160104987
6,cesc,0.0,0.0,0.009375,0.01796875,0.62734375,0.0046875,0.33671875,0.00078125,0.0015625,0.0015625
7,bracs,0.043029259896729774,0.12392426850258176,0.0,0.0,0.0017211703958691911,0.0017211703958691911,0.0051635111876075735,0.6454388984509466,0.17900172117039587,0.0
8,herohe,0.005859375,0.677734375,0.001953125,0.03125,0.00390625,0.001953125,0.001953125,0.076171875,0.19921875,0.0
9,ubc_ocean,0.003703703703703704,0.0,0.007407407407407408,0.001851851851851852,0.001851851851851852,0.03518518518518519,0.08888888888888889,0.003703703703703704,0.0,0.8574074074074074
