true_task,true_task_name,pred_0_camelyon17,pred_1_brca,pred_2_rcc,pred_3_nsclc,pred_4_esca,pred_5_tgct,pred_6_cesc,pred_7_bracs,pred_8_herohe,pred_9_ubc_ocean
0,camelyon17,0.909,0.054,0.0,0.0,0.004,0.0,0.0,0.002,0.031,0.0
1,brca,0.012269938650306749,0.5472392638036809,0.00245398773006135,0.007361963190184049,0.0098159509202454,0.0036809815950920245,0.007361963190184049,0.006134969325153374,0.39263803680981596,0.011042944785276074
2,rcc,0.0,0.0,0.9942196531791907,0.0011560693641618498,0.0,0.003468208092485549,0.0,0.0,0.0,0.0011560693641618498
3,nsclc,0.0034762456546929316,0.002317497103128621,0.0034762456546929316,0.951332560834299,0.02433371958285052,0.002317497103128621,0.008111239860950173,0.0,0.0034762456546929316,0.0011587485515643105
4,esca,0.034328358208955224,0.0,0.0,0.005970149253731343,0.9194029850746268,0.0029850746268656717,0.028358208955223882,0.0,0.0,0.008955223880597015
5,tgct,0.08923884514435695,0.0,0.0,0.013123359580052493,0.05249343832020997,0.7244094488188977,0.10236220472440945,0.005249343832020997,0.0,0.013123359580052493
6,cesc,0.0046875,0.0,0.0109375,0.01953125,0.74609375,0.0125,0.18984375,0.0,0.0,0.01640625
7,bracs,0.01721170395869191,0.17555938037865748,0.0,0.0,0.0017211703958691911,0.0017211703958691911,0.0,0.5714285714285714,0.23235800344234078,0.0
8,herohe,0.0,0.626953125,0.0,0.015625,0.013671875,0.001953125,0.017578125,0.103515625,0.220703125,0.0
9,ubc_ocean,0.005555555555555556,0.0,0.009259259259259259,0.001851851851851852,0.001851851851851852,0.03888888888888889,0.046296296296296294,0.0,0.0,0.8962962962962963
