fold,mACC,BWT,FGT
0,0.732305342451158,-0.07163815443050539,0.07402640474979019
1,0.7779264280233464,-0.06916559164966538,0.07637952199792408
2,0.7524011785282216,-0.05309717810396012,0.056655602466753906
3,0.76039363898029,-0.05524282329331201,0.06524135261957244
4,0.7217794199249357,-0.07534048265777485,0.076998857450478
5,0.7341179300886348,-0.051841906020964085,0.06056760638888378
6,0.7274314412884623,-0.07231950936103695,0.07664008724635926
7,0.7593055974945245,-0.05018411477475521,0.05722331772039091
8,0.7444866827453454,-0.07359979528276409,0.08615407369911147
9,0.7504827668788732,-0.06168876927591544,0.07127941255076925
mean,0.746063042640379,-0.06341183248506535,0.07011662368900333
std,0.016513595451853783,0.009545373605673249,0.009302533594732059
