fold,mACC,BWT,FGT
0,0.7906127753001215,-0.026278932016279552,0.05465367136672903
1,0.82803352391494,-0.03776963665682788,0.05861942543765113
2,0.8032966994719839,-0.023598532274608976,0.04459855567068043
3,0.8120487278005436,-0.03191781535078394,0.04445716432767423
4,0.7734129502746567,-0.025510963200330822,0.04772393435930763
5,0.7888365212214709,-0.05319451929688825,0.06644372156913711
6,0.784603629547804,-0.0519361860266223,0.06327726044215114
7,0.8100664073747168,-0.028358914744558934,0.05439262181807279
8,0.7826412313295554,-0.04203203099539368,0.060029121905801154
9,0.7908330203903903,-0.049506004229743945,0.06303541599444983
mean,0.7964385486626183,-0.037010353479203825,0.05572308928916545
std,0.01567939660949641,0.010930235186588073,0.007549667883817333
