fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.6107352813900644,0.578738835826793,0.5339967398215216,0.5880381067374828,0.0736490575038052
1,0.6577310326154252,0.6164507705057043,0.5760087533356206,0.628539457689015,0.03913804419730767
2,0.6578164034142187,0.6155292404248887,0.5791550083403566,0.6117287607632531,0.07879727190942393
3,0.6679176829565633,0.63850657057931,0.5960057539629443,0.630315032721498,0.11344025680915008
4,0.6411403221453605,0.610722923883177,0.5824225891343985,0.599981621066494,0.11158746244715571
5,0.6561007189687027,0.6205615934613973,0.5886618060733034,0.6190801175705737,0.07493658359479277
6,0.6204412229683416,0.5963334081146644,0.5766379642142236,0.6001350843552142,0.05811927017634143
7,0.6649167006298973,0.626890442127192,0.5877690823181387,0.6290109422541754,0.11104327125983945
8,0.6314974988961148,0.6126746389025082,0.5924494511101414,0.6216859017259222,0.14968531836507565
9,0.6562098373747836,0.6179159246581378,0.5891973124695211,0.6260617548499329,0.1492436556826389
mean,0.6464506701359471,0.6134324348483772,0.580230446078017,0.615457677973356,0.09596401919455308
std,0.018575509794022428,0.015486129285320118,0.01667553372676695,0.014071077188150342,0.035210533353104784
