fold,mACC,BWT,FGT
0,0.706850068954125,-0.06946821886484994,0.0834983945102706
1,0.7498232799808578,-0.06839223070394675,0.08360590591762193
2,0.723957632097996,-0.05412463058495856,0.07192526448941743
3,0.7403832430802997,-0.07106982911760769,0.07787894592672451
4,0.700866811660427,-0.060479672376779016,0.07512702834256638
5,0.7104995045366753,-0.09245441616069199,0.09853775691925325
6,0.7028825362613711,-0.08394796414292235,0.09159024056568658
7,0.7373718526325235,-0.060667130156522225,0.08261866980615169
8,0.7108350622801201,-0.06946438948830716,0.07874688344882354
9,0.7260631373568986,-0.08266914449676112,0.09711358894120557
mean,0.7209533128841293,-0.07127376260933467,0.08406426788677215
std,0.016298113289287864,0.011300861016573734,0.008560312090481149
