fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.5719498634753793,0.552102588635514,0.5083375825368793,0.5459029397584337,0.05618024169431396
1,0.6325042979100721,0.6044816677130722,0.5662820294512827,0.5903314054381796,0.05864472149253282
2,0.6187107359454107,0.594985689902264,0.5610370580394668,0.5696442572458886,0.05216978388361583
3,0.612530139705201,0.5940930870853667,0.5518579288941919,0.5623734892585103,0.05104034583474391
4,0.6057576095453404,0.5915950747821741,0.5542770998419461,0.5449960325936464,0.04973825206325808
5,0.59657020565363,0.5823272356733779,0.5563197874760164,0.5479345749807936,0.049580938586279176
6,0.5865570523298749,0.5748813067113607,0.5583740950935727,0.5526389633025967,0.0526652840392513
7,0.6075404907131435,0.5840213046981658,0.5504595317631908,0.5675708762091629,0.050350987330202324
8,0.5771950421837195,0.5730527601684802,0.5476650053819258,0.5568438876479057,0.05142366065876386
9,0.6023523919843468,0.5762414833967958,0.5533340985185684,0.5729427080675055,0.05088588713835881
mean,0.6011667829446118,0.582778219876657,0.550794421699704,0.5611179134502623,0.052268010272132
std,0.01773388566042707,0.014029407861132895,0.015049775251385412,0.013654817433900984,0.0027849745771915163
