fold,task,acc,bacc,kappa,nw_kappa,weighted_f1,loss,auroc
0,0,0.6,0.2699251575630252,0.15934565283247515,0.14129586260733795,0.5319768043905975,1.1449813708257661,0.6129409576330532
0,1,0.9375,0.9375,0.8175182481751825,0.8175182481751825,0.9394285714285713,0.2535891675721384,0.9599609375
0,2,0.9310344827586207,0.96,0.7810140237324703,0.8342857142857143,0.9342633053278735,0.25696382714143956,0.992097902097902
0,3,0.9534883720930233,0.9532608695652174,0.9065217391304348,0.9065217391304348,0.9534883720930233,0.1721767270992733,0.9891304347826086
0,4,0.9253731343283582,0.9219600725952812,0.8473804100227791,0.8473804100227791,0.9252031027364883,0.19664266460660118,0.9791288566243194
0,5,0.8947368421052632,0.8333333333333333,0.732394366197183,0.732394366197183,0.8879699248120302,0.3534586702359477,0.8557692307692307
0,6,0.9453125,0.8657407407407407,0.7790927021696252,0.7790927021696252,0.9434700111069974,0.30214805343833506,0.9627314814814816
0,7,0.6666666666666666,0.5687979539641943,0.7635726795096323,0.643211100099108,0.7011533463287849,0.7104939661519847,0.7602728047740835
0,8,0.7884615384615384,0.7998405103668261,0.5679758308157099,0.5679758308157099,0.7920906771459573,0.5286712435734213,0.8460925039872408
0,9,0.7592592592592593,0.7954545454545455,0.6699388775699203,0.6754507628294036,0.768534479318793,0.647234854596553,0.968598484848485
1,0,0.69,0.2881818181818182,0.2720786733513305,0.2161119150988905,0.661319120586276,0.8028454190107135,0.6926136363636365
1,1,0.875,0.9264705882352942,0.635036496350365,0.635036496350365,0.8884220354808591,0.4581937414405547,0.9736519607843137
1,2,0.9651162790697675,0.967556253270539,0.9347496206373292,0.9372262773722628,0.9666842483816832,0.1068827323866575,0.9939822082679225
1,3,0.9655172413793104,0.9656448202959831,0.9310435931307794,0.9310435931307794,0.9655172413793104,0.05848754703927266,0.9978858350951374
1,4,0.9552238805970149,0.9523593466424682,0.9084282460136675,0.9084282460136675,0.955121861641893,0.08810026111932738,0.9972776769509982
1,5,0.868421052631579,0.8804713804713804,0.7040498442367602,0.7040498442367602,0.8724458204334367,0.246370163833422,0.9696969696969697
1,6,0.9140625,0.8472222222222222,0.6805807622504537,0.6805807622504537,0.9149106636415201,0.1957701342730544,0.9759259259259259
1,7,0.8846153846153846,0.771950271950272,0.8779979144942649,0.8325666973321066,0.8807324921455356,0.48412710090048444,0.9246956746956747
1,8,0.68,0.6916666666666667,0.3650793650793651,0.3650793650793651,0.6830917874396135,0.5639336634241733,0.7816666666666666
