fold,mACC,BWT,FGT
0,0.9322497827135697,-0.022566803953473658,0.03186912953486902
1,0.940598960539592,-0.03198529101422363,0.03198529101422363
2,0.9404178628683358,-0.01904333611902842,0.0220284107458941
3,0.9280550727011851,-0.009092083171897181,0.009092083171897181
4,0.9082111662427481,-0.027603540393850556,0.02995648157032116
5,0.9392260400859597,-0.01879531561791765,0.02367336439840546
6,0.8974786986208043,-0.023727455000163423,0.026000182272890693
7,0.9259426926705213,-0.011233307148468175,0.018299775268137843
8,0.9157975226499482,-0.014922479418445777,0.014922479418445777
9,0.9290035772030985,-0.014062927496580047,0.01641586867305065
mean,0.9256981376295762,-0.019303253933404853,0.022424306606813552
std,0.01371614740653762,0.006901615377632026,0.00734161566953004
