fold,mACC,BWT,FGT
0,0.9072574885241019,-0.05940997277991924,0.06406113557061692
1,0.9141302330549084,-0.06406662242327381,0.06636547299798648
2,0.9065454208252296,-0.0696504370665326,0.0696504370665326
3,0.9057949783217373,-0.01762329462189214,0.034727028077244905
4,0.8766876193925298,-0.03472317208217775,0.04449234557435944
5,0.9170936528982638,-0.03304546677870328,0.04357178256817695
6,0.8760481738227744,-0.07247236680477671,0.07482530798124729
7,0.8975930672726053,-0.04996679843721432,0.05478607554564805
8,0.8974914460388851,-0.07965517772512473,0.08688409338777534
9,0.9056857007298177,-0.03379640067357077,0.039059558568307604
mean,0.9004327780880853,-0.05144097093931854,0.057842323733789544
std,0.013344097428428662,0.01966691751866551,0.01631231267681089
