fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.7913425152197342,0.7690303511953912,0.7550043353666844,0.768253817791714,0.12330209314722039
1,0.79527642297261,0.7932748885820925,0.7793977951631669,0.7736942773577398,0.13388397877617983
2,0.7923920497512995,0.7925251426875226,0.7731898059354692,0.773284056970425,0.13078676602316902
3,0.8246896534839504,0.801568187662158,0.8017914586882658,0.804225970996714,0.127781037574668
4,0.8053470425645375,0.815771381678128,0.790537469690003,0.7722743893920397,0.12628234228793875
5,0.8116092872596724,0.811271187014504,0.8062558515256111,0.7939742009810101,0.12767897906928874
6,0.7852958239206393,0.7726906427596466,0.7563853447144417,0.752182101851111,0.13665671767860713
7,0.8251148224665571,0.821500508937723,0.8142148049997869,0.8082416246133237,0.13431569212146097
8,0.8172655926952315,0.7963640812256445,0.7987142548739031,0.8124876033791955,0.1280482623499662
9,0.8056132262695629,0.811175380648574,0.7924889950690213,0.7907613865945207,0.13240931237585124
mean,0.8053946436603795,0.7985171752391385,0.7867980116026353,0.7849379429927794,0.130114518140435
std,0.01346716315119399,0.016621219373214383,0.019285159745621266,0.018877350638604174,0.003963813442399221
