fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.8996131361816322,0.8760314972967856,0.8646858242331876,0.912482684719202,0.07474081897814805
1,0.9089727416476859,0.8957975516122129,0.8822155473071552,0.9261669653843841,0.07305577345992989
2,0.9202828533074304,0.9158748889955266,0.8934349809674197,0.928352488848137,0.08023593463717534
3,0.9173773664114032,0.8939624803135592,0.8928868031084085,0.9213145167252225,0.07230788117578413
4,0.8998294005116442,0.8970084280050744,0.8752348521125708,0.9039891936912016,0.0470349853247646
5,0.9066879645966717,0.8922330443299608,0.8870882833482412,0.9188145035873875,0.03868273303037155
6,0.896255509239318,0.8732253519905958,0.8634622053035842,0.9053154102205764,0.03440784337407798
7,0.9197736156531963,0.9052046766190577,0.8963905014839418,0.9259290745314207,0.038457926673279456
8,0.911705590420875,0.8860936590208489,0.8815414917123211,0.9171950734844847,0.03907544001974234
9,0.8950968742063496,0.8910051095558074,0.8704501826210299,0.9081227854557089,0.03443313245968579
mean,0.9075595052176204,0.8926436687739431,0.880739067219786,0.9167682696647725,0.053243246913295905
std,0.009129086032912659,0.01194569905633369,0.011354345555266569,0.008479805221500034,0.01823519574468101
